epoch	loss
0	67.78352355957031
1	1.2026398181915283
2	1.0315519571304321
3	0.9529136419296265
4	0.9048870801925659
5	0.8906630873680115
6	0.8435472249984741
7	0.8336891531944275
8	0.79694664478302
9	0.7971245646476746
10	0.7761176824569702
11	0.7650798559188843
12	0.7625479102134705
13	0.7565880417823792
14	0.7459439039230347
15	0.7356575131416321
16	0.747047483921051
17	0.7309634685516357
18	0.7315707206726074
19	0.7269399762153625
20	0.7236842513084412
21	0.7206241488456726
22	0.7284506559371948
23	0.7210503816604614
24	0.7120988965034485
25	0.7094364762306213
26	0.7140325903892517
27	0.7062942385673523
28	0.7064984440803528
29	0.7057398557662964
30	0.7035180330276489
31	0.7018481492996216
32	0.6988599300384521
33	0.7007921934127808
34	0.700880229473114
35	0.6945108771324158
36	0.6930545568466187
37	0.7003744840621948
38	0.6940819621086121
39	0.7024949193000793
40	0.6983904242515564
41	0.6894826292991638
42	0.6846667528152466
43	0.6910569071769714
44	0.6840837001800537
45	0.687846839427948
46	0.6854523420333862
47	0.6820849776268005
48	0.6859344840049744
49	0.6783748865127563
50	0.6826803684234619
51	0.6848689317703247
52	0.6826248168945312
53	0.6771143674850464
54	0.679105818271637
55	0.6745254993438721
56	0.6774469017982483
57	0.6773241758346558
58	0.6774390935897827
59	0.6736021041870117
60	0.6762841939926147
61	0.6709915995597839
62	0.6743199229240417
63	0.6694988012313843
64	0.6713111400604248
65	0.6698718667030334
66	0.6739622950553894
67	0.6680771112442017
68	0.6670977473258972
69	0.6741282343864441
70	0.6663106679916382
71	0.6673393845558167
72	0.6635556817054749
73	0.664059579372406
74	0.6645069122314453
75	0.6657164692878723
76	0.6649733185768127
77	0.6670921444892883
78	0.6669795513153076
79	0.6617536544799805
80	0.6654669046401978
81	0.6655393838882446
82	0.6611730456352234
83	0.6612062454223633
84	0.6613680720329285
85	0.6738419532775879
86	0.6598129272460938
87	0.6634619235992432
88	0.6572195887565613
89	0.660352349281311
90	0.6592282652854919
91	0.6575349569320679
92	0.6601935625076294
93	0.6665201187133789
94	0.6605288982391357
95	0.6566122174263
96	0.654190182685852
97	0.65274977684021
98	0.6538809537887573
99	0.6547892689704895
100	0.6596091389656067
