epoch	loss
0	33.02415084838867
1	2.00235652923584
2	1.6924712657928467
3	1.5389680862426758
4	1.4452288150787354
5	1.3829624652862549
6	1.3362445831298828
7	1.2975332736968994
8	1.2698478698730469
9	1.2474150657653809
10	1.2242183685302734
11	1.2090219259262085
12	1.1925143003463745
13	1.1810535192489624
14	1.1663507223129272
15	1.1557841300964355
16	1.148183822631836
17	1.1367216110229492
18	1.1288702487945557
19	1.1272605657577515
20	1.1162834167480469
21	1.1097946166992188
22	1.103479027748108
23	1.1003094911575317
24	1.0953956842422485
25	1.0914280414581299
26	1.087904453277588
27	1.0825250148773193
28	1.0791689157485962
29	1.076507806777954
30	1.0757901668548584
31	1.068856954574585
32	1.0668882131576538
33	1.0640746355056763
34	1.0671714544296265
35	1.0616689920425415
36	1.0567835569381714
37	1.0554022789001465
38	1.0530482530593872
39	1.0519204139709473
40	1.0503486394882202
41	1.0506986379623413
42	1.0483542680740356
43	1.0446635484695435
44	1.0437500476837158
45	1.0438058376312256
46	1.0441287755966187
47	1.0396772623062134
48	1.0384994745254517
49	1.037516713142395
50	1.0386027097702026
51	1.0363779067993164
52	1.0352230072021484
53	1.033608317375183
54	1.0385384559631348
55	1.0319849252700806
56	1.0310935974121094
57	1.0298798084259033
58	1.030309796333313
59	1.0299702882766724
60	1.0267318487167358
61	1.0292391777038574
62	1.026570200920105
63	1.0252540111541748
64	1.0270304679870605
65	1.0234806537628174
66	1.025022268295288
67	1.0215553045272827
68	1.023514986038208
69	1.0203922986984253
70	1.0210245847702026
71	1.0214523077011108
72	1.0201952457427979
73	1.0183932781219482
74	1.0189564228057861
75	1.017960548400879
76	1.0177267789840698
77	1.0201714038848877
78	1.0207064151763916
79	1.016438603401184
80	1.015661358833313
81	1.0158296823501587
82	1.0138437747955322
83	1.014379858970642
84	1.0171376466751099
85	1.0129973888397217
86	1.0128693580627441
87	1.0161466598510742
88	1.0123615264892578
89	1.0134155750274658
90	1.012764811515808
91	1.0116453170776367
92	1.0110617876052856
93	1.0114833116531372
94	1.0117671489715576
95	1.0083332061767578
96	1.0110341310501099
97	1.0090175867080688
98	1.0086324214935303
99	1.0138359069824219
100	1.013538122177124
